run num,is warmup,timing
1,no,2.4200000000001998e-05
2,no,2.3200000000000998e-05
3,no,2.289999999999237e-05
4,no,2.2799999999989495e-05
average,2.3274999999996215e-05
variance,3.0687500000481187e-13
run num,is warmup,timing
1,no,2.3799999999990495e-05
2,no,2.3300000000003873e-05
3,no,2.3099999999998122e-05
4,no,2.3099999999998122e-05
average,2.3324999999997653e-05
variance,8.18749999981168e-14
run num,is warmup,timing
1,no,3.8399999999993994e-05
2,no,2.4399999999979993e-05
3,no,2.3999999999996247e-05
4,no,2.36000000000125e-05
average,2.7599999999995684e-05
variance,3.895999999998134e-11
run num,is warmup,timing
1,no,2.4999999999997247e-05
2,no,2.4099999999999122e-05
3,no,2.389999999999337e-05
4,no,2.4099999999999122e-05
average,2.4274999999997215e-05
variance,1.8187500000039846e-13
